candid_id,const_id,State,Constituency,Name,Party
CD0557,,Karnataka,Bangalore Rural,D.K Suresh,INC
CD0558,,Karnataka,Bangalore South,B.K. Hariprasad,INC
CD0559,,Karnataka,Belgaum,Virupakshi S. Sadhunnavar,INC
CD0560,,Karnataka,Bellary,U.S. Ugrappa,INC
CD0561,,Karnataka,Bidar,Eshwar Khandre B.,INC
CD0562,,Karnataka,Chamrajanagar,R.Dhruva Narayana,INC
CD0563,,Karnataka,Chikkballapur,Dr. M. Veerappa Moily,INC
CD0564,,Karnataka,Chikkodi,Prakash Hukkeri,INC
CD0565,,Karnataka,Chitradurga ,B.N. Chandrappa,INC
CD0566,,Karnataka,Dakshina Kannada,Mithun M Rai,INC
CD0567,,Karnataka,Davanagere,Shamanur Shivashankarappa,INC
CD0568,,Karnataka,Dharwad,Vinay Kulkarni,INC
CD0569,,Karnataka,Gulbarga ,Malliakarjun Kharge,INC
CD0570,,Karnataka,Haveri,D.R. Patil,INC
CD0571,,Karnataka,Kolar,K.H. Muniyappa,INC
CD0572,,Karnataka,Koppal,Rajashekhar Hitnal,INC
CD0573,,Karnataka,Mysore,C. H. Vijayshankar,INC
CD0574,,Karnataka,Raichur,B.V. Nayak,INC
CD0575,,Kerala,Alappuzha,Shanimol Usman (INC),INC
CD0576,,Kerala,Alathur,Ramya Haridas (INC),INC
CD0577,,Kerala,Attingal,Adoor Prakash (INC),INC
CD0578,,Kerala,Chalakudy,Benny Behanan (INC),INC
CD0579,,Kerala,Ernakulam,Hibi Eden (INC),INC
CD0580,,Kerala,Idukki,Dean Kuriakose (INC),INC
CD0581,,Kerala,Kannur,K Sudhakaran (INC),INC
CD0582,,Kerala,Kasargod,Rajmohan Unnithan (INC),INC
CD0583,,Kerala,Kozhikode,MK Raghavan (INC),INC
CD0584,,Kerala,Mavelikara,Kodikunnil Suresh (INC),INC
CD0585,,Kerala,Palakkad,VK Sreekandan (INC),INC
CD0586,,Kerala,Pathanamthitta,Anto Antony (INC),INC
CD0587,,Kerala,Thiruvananthapuram,Shashi Tharoor (INC),INC
CD0588,,Kerala,Thrissur,TN Prathapan (INC),INC
CD0589,,Kerala,Vadakara,K Muraleedharan (INC),INC
CD0590,,Kerala,Wayanad,Rahul Gandhi (INC),INC
CD0591,,Lakshadweep,Lakshadweep ,M. Handullah Sayeed,INC
CD0592,,Madhya Pradesh,Balaghat,Madhu Bhagat,INC
CD0593,,Madhya Pradesh,Betul,Ramu Tekam,INC
CD0594,,Madhya Pradesh,Bhind,Dewasish Jararia,INC
CD0595,,Madhya Pradesh,Bhopal,Digvijaya Singh,INC
CD0596,,Madhya Pradesh,Chhindwara,Nakul Nath,INC
CD0597,,Madhya Pradesh,Damoh,Pratap Singh Lodhi,INC
CD0598,,Madhya Pradesh,Dewas,Prahlad Tipaniya,INC
CD0599,,Madhya Pradesh,Dhar,Dinesh Girwal,INC
CD0600,,Madhya Pradesh,Guna,Jyotiraditya Scindia,INC
CD0601,,Madhya Pradesh,Gwalior,Ashok Singh,INC
CD0602,,Madhya Pradesh,Hoshanghabad,Shailendra Diwan ,INC
CD0603,,Madhya Pradesh,Indore,Pankaj Sanghvi,INC
CD0604,,Madhya Pradesh,Jabalpur,Vivek Tankha,INC
CD0605,,Madhya Pradesh,Khajuraho,Smt Kavita Singh W/O Natiraja,INC
CD0606,,Madhya Pradesh,Khandwa,Arun Yadav,INC
CD0607,,Madhya Pradesh,Khargone,Dr. Govind Muzaalda,INC
CD0608,,Madhya Pradesh,Mandla,Kamal Maravi,INC
CD0609,,Madhya Pradesh,Mandsour,M.S Meenakshi Natarajan,INC
CD0610,,Madhya Pradesh,Morena,Shri Ram Niwas Rawat,INC
CD0611,,Madhya Pradesh,Rajgarh,Smt. Mona Sustani,INC
CD0612,,Madhya Pradesh,Ratlam,Kanti Lal Bhuria,INC
CD0613,,Madhya Pradesh,Rewa,Siddharth Tiwari,INC
CD0614,,Madhya Pradesh,Sagar,Prabhusingh Thakur,INC
CD0615,,Madhya Pradesh,Satna,Raja Ram Tripathi,INC
CD0616,,Madhya Pradesh,Shahdol,Smt Pramila Singh,INC
CD0617,,Madhya Pradesh,Sidhi,Ajay Singh Rahul,INC
CD0618,,Madhya Pradesh,Tikamgarh,Smt Kiran Ahirwar,INC
CD0619,,Madhya Pradesh,Ujjain,Babulal Malviya,INC
CD0620,,Madhya Pradesh,Vidisha,Shailendra Patel,INC
CD0621,,Maharashtra,Akola,Hidayatullah Barakatullah Patel,INC
CD0622,,Maharashtra,Aurangabad,Subhash Zambad,INC
CD0623,,Maharashtra,Bhiwandi,Suresh Kashinath Taware,INC
CD0624,,Maharashtra,Chandrapur,Balubhau alias Suresh Narayan Dhanorkar,INC
CD0625,,Maharashtra,Dhule,Kunal Rohidas Patil,INC
CD0626,,Maharashtra,Gadchiroli-Chimur ,Dr. Namdev Dalluji Usendi,INC
CD0627,,Maharashtra,Hingoli,Wankhede Subhashrao Bapurao,INC
CD0628,,Maharashtra,Jalna,Vilas Keshavrao Autade,INC
CD0629,,Maharashtra,Latur ,Machhlindra Kamant,INC
CD0630,,Maharashtra,Mumbai North,Smt. Urmila Matondkar,INC
CD0631,,Maharashtra,Mumbai North West,Sanjay Nirupam,INC
CD0632,,Maharashtra,Mumbai South-Central,Eknath Gaikwad,INC
CD0633,,Maharashtra,Mumbai-North-Central,Smt. Priya Dutt,INC
CD0634,,Maharashtra,Mumbai-South,Milind Murli Deora,INC
CD0635,,Maharashtra,Nagpur,Nana Patole,INC
CD0636,,Maharashtra,Nanded,Ashok Shankarrao Chavan,INC
CD0637,,Maharashtra,Nandurbar ,K.C. Padavi,INC
CD0638,,Maharashtra,Pune,Mohan Joshi,INC
CD0639,,Maharashtra,Ramtek,Kishore Uttamrao Gajbhiye,INC
CD0640,,Maharashtra,Ratnagiri-Sindhudurg,Navinchandra Bandivadekar,INC
CD0641,,Maharashtra,Raver,Dr Ulhas Patil,INC
CD0642,,Maharashtra,Shirdi,Bhausaheb Kamble,INC
CD0643,,Maharashtra,Solapur ,Sushil Kumar S. Sinde,INC
CD0644,,Maharashtra,Wardha,Adv. Charulata Khajashigh Tokas,INC
CD0645,,Maharashtra,Yavatmal-Washim,Manikrao G. Thakare,INC
CD0646,,Manipur,Inner Manipur,Oinam Nabakishore Singh,INC
CD0647,,Manipur,Outer Manipur,K. James,INC
CD0648,,Meghalaya,Shillong ,Vincent H Pala,INC
CD0649,,Meghalaya,Tura ,Dr Mukul M Sangma,INC
CD0650,,Nagaland,Nagaland,K.L.Chishi,INC
CD0651,,Odisha,Aska,Not Declared,INC
CD0652,,Odisha,Balasore,Navajyoti Patnaik,INC
CD0653,,Odisha,Balasore,Navajyoti Patnaik,INC
CD0654,,Odisha,Bargarh,Pradeep Kumar Devta,INC
CD0655,,Odisha,Berhampur,V.Chandrasekhar Naidu,INC
CD0656,,Odisha,Bhadrak,Ms. Madhumita Sethi,INC
CD0657,,Odisha,Bhubaneswar,Not Declared,INC
CD0658,,Odisha,Bolangir,Samarendra Mishta,INC
CD0659,,Odisha,Cuttack,Panchanan Kanungo,INC
CD0660,,Odisha,Dhenkanal,Brig K. P. Singhoeo,INC
CD0661,,Odisha,Jagatsinghpur,Ms. Pratima Mallick,INC
CD0662,,Odisha,Jajpur ,Manas Jena,INC
CD0663,,Odisha,Kalahandi,Bhakta Charan Das,INC
CD0664,,Odisha,Kandhamal,Manoj Kumar Acharya,INC
CD0665,,Odisha,Kendrapara,Dharanidhar Nayak,INC
CD0666,,Odisha,Keonjhar,Fakir Mohan Naik,INC
CD0667,,Odisha,Koraput ,Saptagiri Sankar Ulaka,INC
CD0668,,Odisha,Mayurbhanj,Not Declared,INC
CD0669,,Odisha,Nabarangpur,Pradeep Kumar Majhi,INC
CD0670,,Odisha,Puri,Satya Prakash Nayak,INC
CD0671,,Odisha,Sundargarh,Geore Tirkey,INC
CD0672,,Pudechery,Puducherry,V. Vaithilingam,INC
CD0673,,Punjab,Amritsar,Gurjit Singh Aujla,INC
CD0674,,Punjab,Anandpur Sahib,Manish Tewari,INC
CD0675,,Punjab,Faridkot,Mohd. Sadique,INC
CD0676,,Punjab,Fatehgarh Sahib,Dr. Amar Singh,INC
CD0677,,Punjab,Gurdaspur,Sunil Jakhar,INC
CD0678,,Punjab,Hoshiarpur ,Rajkumar Chabbewal,INC
CD0679,,Punjab,Jalandhar ,Santokh Singh Shaudhary,INC
CD0680,,Punjab,Khadoor Sahib,Jasbir Singh Gill (Dimpa),INC
CD0681,,Punjab,Ludhiana,Ravneet Singh Bittu,INC
CD0682,,Punjab,Patiala,Preneet Kaur,INC
CD0683,,Punjab,Sangrur,Kewal Singh Dhillon,INC
CD0684,,Rajasthan,Ajmer,Rijju Jhunjhunuwala,INC
CD0685,,Rajasthan,Alwar,Jitendra Singh,INC
CD0686,,Rajasthan,Banswara,Tarachand Bhagora,INC
CD0687,,Rajasthan,Barmer,Manvendra Singh,INC
CD0688,,Rajasthan,Bharatpur,Abhijit Kumar Jatav,INC
CD0689,,Rajasthan,Bhilwara,Rampal Sharma,INC
CD0690,,Rajasthan,Chittorgarh,Gopal Singh Idwa,INC
CD0691,,Rajasthan,Churu,Rafioue Mandelia,INC
CD0692,,Rajasthan,Dausa,Smt. Savita Meena,INC
CD0693,,Rajasthan,Ganganagar ,Bharatram Meghwal,INC
CD0694,,Rajasthan,Jaipur,Smt. Jyoti Khandelwal,INC
CD0695,,Rajasthan,Jaipur Rural,Krishna Punia,INC
CD0696,,Rajasthan,Jalore,Ratan Dewasi,INC
CD0697,,Rajasthan,Jhalawar-Baran,Pramod Sharma,INC
CD0698,,Rajasthan,Jhunjhunu,Shrawan Kumar,INC
CD0699,,Rajasthan,Jodhpur,Vaibhav Gehlot,INC
CD0700,,Rajasthan,Karauli - Dholpur,Sanjay Kumar Jatav,INC
CD0701,,Rajasthan,Kota,Ramnarayan Meena,INC
CD0702,,Rajasthan,Nagaur,Dr Jyoti Mirdha,INC
CD0703,,Rajasthan,Pali,Badri Ram Jakhar,INC
CD0704,,Rajasthan,Rajsamand,Devkinandan Gurjar,INC
CD0705,,Rajasthan,Rikanfr,Madangopal Meghwal,INC
CD0706,,Rajasthan,Sikar,Subhash Maharia,INC
CD0707,,Rajasthan,Tonk-Sawai Madhopur,Namo Narain Meena,INC
CD0708,,Rajasthan,Udaipur,Raghuveer Singh Meena,INC
CD0709,,Sikkim,Sikkim,Bharat Basnett,INC
CD0710,,Tamilnadu,Arani,Dr. M K. Vishnu Prasad,INC
CD0711,,Tamilnadu,Kanniyakumari,H. Vasanthakumar,INC
CD0712,,Tamilnadu,Karur,Selvi Jothimani,INC
CD0713,,Tamilnadu,Krishnagiri,Dr. A Chellakumar,INC
CD0714,,Tamilnadu,Theni,Evks Elangovan,INC
CD0715,,Tamilnadu,Tiruchirappalli,Su. Thirunnavukkarasar,INC
CD0716,,Tamilnadu,Tiruvallur,Dr. K Jayakumar,INC
CD0717,,Tamilnadu,Virudhunagar,Manickam Tagore,INC
CD0718,,Tamilnadu,Sivaganga,Karti P Chidambaram,INC
CD0719,,Telangana,Adilabad ,Ramesh Rathod,INC
CD0720,,Telangana,Bhongir,Komatireddy Venkat Reddy,INC
CD0721,,Telangana,Chelvella,Konda Vishweshwar Reddy,INC
CD0722,,Telangana,Hyderabad,Firoz Khan,INC
CD0723,,Telangana,Karimnagar,Ponnam Prabhakar,INC
CD0724,,Telangana,Khammam,Smt. Renuka Choudhary,INC
CD0725,,Telangana,Mahabubabad ,Porika Balram Naik,INC
CD0726,,Telangana,Mahabubnagar,Dr. Ch. Vamshichand Reddy,INC
CD0727,,Telangana,Malkajgiri,A Revanth Reddy,INC
CD0728,,Telangana,Medak,Gali Anil Kumar,INC
CD0729,,Telangana,Nagarkurnool,Dr. Mallu Ravi,INC
CD0730,,Telangana,Nalgonda,N. Uttam Kumar Reddy,INC
CD0731,,Telangana,Nizamabad,Madhu Yashki Guud,INC
CD0732,,Telangana,Peddapalli,A Chandra Sekhar,INC
CD0733,,Telangana,Secunderabad,M. Anjan Kumar Yadav,INC
CD0734,,Telangana,Warangal,Dommati Sambaiah,INC
CD0735,,Telangana,Zahirabad,K Madan Mohan Rao,INC
CD0736,,Tripura,Tripura East,Maharaj Kumari Pragya Debburman,INC
CD0737,,Tripura,Tripura West,Subal Bhowmick,INC
CD0738,,Uttar Pradesh,Agra,Mrs Preeta Harit,INC
CD0739,,Uttar Pradesh,Akbarpur,Rajaram Pal,INC
CD0740,,Uttar Pradesh,Aligarh,Ch. Brijender Singh,INC
CD0741,,Uttar Pradesh,Ambedkar Nagar,Ummed Singh Nishad,INC
CD0742,,Uttar Pradesh,Amethi,Rahul Gandhi,INC
CD0743,,Uttar Pradesh,Amroha,Sachin Choudhary,INC
CD0744,,Uttar Pradesh,Aonla,Kumar Sarvaraj Singha,INC
CD0745,,Uttar Pradesh,Badaun,Saleem Iqbal Shervani,INC
CD0746,,Uttar Pradesh,Bahraich,Smt. Savitri Phule,INC
CD0747,,Uttar Pradesh,Banda,Bal Kunwar Patel,INC
CD0748,,Uttar Pradesh,Bansgaon,Kush Saurabh,INC
CD0749,,Uttar Pradesh,Barabanki,Tanuj Punia,INC
CD0750,,Uttar Pradesh,Bareilly,Praveen Aron,INC
CD0751,,Uttar Pradesh,Basti,Raj Kishore Singh,INC
CD0752,,Uttar Pradesh,Bhadohi,Rama Kant Yadav,INC
CD0753,,Uttar Pradesh,Bijnor,Naseemuddin Siddioui (In place of Indira Bhatti),INC
CD0754,,Uttar Pradesh,Bulandshahr,Banshi Singh,INC
CD0755,,Uttar Pradesh,Chandauli,Smt. Shiv Kanya Kushwah,INC
CD0756,,Uttar Pradesh,Deoria,Niaz Ahmed,INC
CD0757,,Uttar Pradesh,Dhaurahra,Jitin Prasad,INC
CD0758,,Uttar Pradesh,Etawah,Ashok Dohare,INC
CD0759,,Uttar Pradesh,Faizabad,Nirmal Khatri,INC
CD0760,,Uttar Pradesh,Farrukhabad,Salman Khursheed,INC
CD0761,,Uttar Pradesh,Fatehpur,Rakesh Sachan,INC
CD0762,,Uttar Pradesh,Fatehpur Sikri,Raj Babbar,INC
CD0763,,Uttar Pradesh,Gautam Buddha Nagar,Dr. Arvind Kumar Singh,INC
CD0764,,Uttar Pradesh,Ghaziabad,Smt. Dolly Sharma,INC
CD0765,,Uttar Pradesh,Ghazipur,Ajit Pratap Kushwah,INC
CD0766,,Uttar Pradesh,Ghosi,Bal Krishna Chauhan,INC
CD0767,,Uttar Pradesh,Gonda,Smt. Krishna Patel,INC
CD0768,,Uttar Pradesh,Hamirpur,Pritam Lodhi,INC
CD0769,,Uttar Pradesh,Hardoi,Virendra Kumar Verma,INC
CD0770,,Uttar Pradesh,Hathras,Trilokiram Diwakar,INC
CD0771,,Uttar Pradesh,Jalaun,Brij Lal Khabri,INC
CD0772,,Uttar Pradesh,Jaunpur,Dewrata Mishra,INC
CD0773,,Uttar Pradesh,Jhansi,Aov. Shiv Saran Kushwah,INC
CD0774,,Uttar Pradesh,Kairana,Harendra Singh Malik,INC
CD0775,,Uttar Pradesh,Kaiserganj,Vinay Kumar Pandey,INC
CD0776,,Uttar Pradesh,Kanpur,Sri Prakash Jaiswal,INC
CD0777,,Uttar Pradesh,Kaushambi,Girish Chand Pasi,INC
CD0778,,Uttar Pradesh,Kheri,Zafar Ali Naqvi,INC
CD0779,,Uttar Pradesh,Kushi Nagar,R.P.N. Singh,INC
CD0780,,Uttar Pradesh,Lalganj,Pankaj Mohan Sonkar,INC
CD0781,,Uttar Pradesh,Lucknow,Acharya Pramod Krishnam,INC
CD0782,,Uttar Pradesh,Maharajganj,Supriya Shrinate (In place of Tanushree Tripathi),INC
CD0783,,Uttar Pradesh,Mathura,Mahesh Pathak,INC
CD0784,,Uttar Pradesh,Meerut,Harendra Agarwal (In place of Dr. O.P. Sharma),INC
CD0785,,Uttar Pradesh,Mirzapur,Lalitesh Pati Tripathi,INC
CD0786,,Uttar Pradesh,Misrikh,Ms. Manjari Rahi,INC
CD0787,,Uttar Pradesh,Mohanlalganj,R K Chaudhary (In place of Ramasharkar Bhargava),INC
CD0788,,Uttar Pradesh,Moradabad,Imran Pratapgarhiya (In place of Raj Babbar),INC
CD0789,,Uttar Pradesh,Nagina,Smt. Omwati Devi Jatav,INC
CD0790,,Uttar Pradesh,Phulpur,Pankaj Niranjan,INC
CD0791,,Uttar Pradesh,Pratapgarh,Smt. Ratna Singh,INC
CD0792,,Uttar Pradesh,Rae Bareli,Smt. Sonia Gandhi,INC
CD0793,,Uttar Pradesh,Rampur,Sanjay Kapoor,INC
CD0794,,Uttar Pradesh,Robertsganj,Bhagwati Prasad Choudhary,INC
CD0795,,Uttar Pradesh,Saharanpur,Imran Masood,INC
CD0796,,Uttar Pradesh,Salempur,Rajesh Mishra,INC
CD0797,,Uttrakhand,Almora ,Pradeep Tamta,INC
CD0798,,Uttrakhand,Garhwal,Manish Khanduri,INC
CD0799,,Uttrakhand,Hardwar,Ambrish Kumar,INC
CD0800,,Uttrakhand,Nainital-Udhamsingh Nagar,Harish Rawat,INC
CD0801,,Uttrakhand,Tehri Garhwal,Pritam Singh,INC
CD0802,,West Bengal,Alipurduars,Mohan Lal Basumata,INC
CD0803,,West Bengal,Arambagh,Smt Jyoti Das,INC
CD0804,,West Bengal,Asansol,Biswarup Mondal,INC
CD0805,,West Bengal,Baharampur,Adhir Ranjan Chowdhury,INC
CD0806,,West Bengal,Balurghat,Sadik Sarkar,INC
CD0807,,West Bengal,Bangaon,Sourav Prasad,INC
CD0808,,West Bengal,Barasat,Smt Subrota (Rashu) Dutta,INC
CD0809,,West Bengal,Bardhaman Durgapur,Ranjit Mukherjee,INC
CD0810,,West Bengal,Bardhaman Purba,Siddharth Majumder,INC
CD0811,,West Bengal,Barrackpore,Md. Alam,INC
CD0812,,West Bengal,Basirhat,Quazi Abdur Rahim,INC
CD0813,,West Bengal,Birbhum,Imam Hossain,INC
CD0814,,West Bengal,Bishnupur,Narayan Chandra Khan,INC
CD0815,,West Bengal,Bolpur,Abhjit Saha,INC
CD0816,,West Bengal,Cooch Behar,MS. Priya Roy Chowdhury,INC
CD0817,,West Bengal,Darjeeling,Shankar Malakar,INC
CD0818,,West Bengal,Diamond Harbour,Soumya Aich Roy,INC
CD0819,,West Bengal,Dum Dum,Saurav Baha,INC
CD0820,,West Bengal,Hooghly,Pratul Saha,INC
CD0821,,West Bengal,Howrah,Smt. Suvra Ghosh,INC
CD0822,,West Bengal,Jalpaiguri,Mani Kumar Darnal,INC
CD0823,,West Bengal,Jangipur,Abhijit Mukherjee,INC
CD0824,,West Bengal,Jhargram,Jagyeswar Hemb Ram,INC
CD0825,,West Bengal,Joynagar,Tapan Mondal,INC
CD0826,,West Bengal,Kanthi,Dipak Kumar Das,INC
CD0827,,West Bengal,Kolkata Dakshin,Smt Mita Chakraborty,INC
CD0828,,West Bengal,Krishnanagar,Intaj Ali Shah,INC
CD0829,,West Bengal,Maldaha Dakshin,Abu Hasem Khan Chowdhury,INC
CD0830,,West Bengal,Maldaha Uttar,Isha Khan Chowdhury,INC
CD0831,,West Bengal,Mathurapur,Krittibas Sardar,INC
CD0832,,West Bengal,Medinipur,Sambhunath Chatterjee,INC
CD0833,,West Bengal,Murshidabad,Abu Hema,INC
CD0834,,West Bengal,Purulia,Nepal Mahato,INC
CD0835,,West Bengal,Raiganj,Smt. Deepa Dasmunshi,INC
CD0836,,West Bengal,Ranaghat,Smt Minati Biswas,INC
CD0837,,West Bengal,Serampore,Debabrata Biswas,INC
CD0838,,West Bengal,Tamluk,Dr Lakshman Chandra Seth,INC
CD0839,,West Bengal,Uluberia,Smt Shoma Ranisree Roy,INC
CD0840,,Uttar Pradesh,Sambhal,Maj J P Singh,INC
CD0841,,Uttar Pradesh,Sant Kabir Nagar,Parvez Khan,INC
CD0842,,Uttar Pradesh,Shahjahanpur,Brahm Swaroop Sagar,INC
CD0843,,Uttar Pradesh,Shrawasti,Shri Dhirender Pratap Singh,INC
CD0844,,Uttar Pradesh,Sitapur,Smt. Kaisar Jahan,INC
CD0845,,Uttar Pradesh,Sultanpur,Dr. Sanjay Singh,INC
CD0846,,Uttar Pradesh,Unnao,Smt. Annu Tandon,INC
CD0847,,West Bengal,Ghatala,Khandakar Mohammad Saifullah,INC
CD0848,,West Bengal,Jhargram,Jagyeswar Hembram,INC
